province_code,province,province_chinese,region4,regionmrs,regioneconomy,E02_05_c10,E02_07_c01,E02_07_c02,E02_07_c04,E02_11_c02,E02_11_c03,E02_11_c04,E03_09_c01,E03_09_c02,E03_09_c03,E03_09_c04,E06_18_c07,E06_24_c07,E06_30_c07,hdi,lifeindex,eduindex,incomeindex,lexp,mys25,eys,gnipc,random
11,Beijing,???,Eastern,Beijing-Tianjin-Hebei,Tier 2 (Upper-middle),2183,2183,1926,257,2688,16079,3703,49843.1,116.4,7226.8,42499.9,85415,92464,39856,0.89,0.96138,0.82049,0.8932,82.49,12.47309,14.57,36983.91677,one
12,Tianjin,???,Eastern,Beijing-Tianjin-Hebei,Tier 4 (Lowest),1364,1364,1173,191,1702,9728,2606,18024.3,284.3,6214.3,11525.8,53581,57705,32715,0.841,0.94308,0.7693,0.81994,81.3,10.96223,14.54,22770.07822,two
13,Hebei,???,Eastern,Beijing-Tianjin-Hebei,Tier 2 (Upper-middle),7378,7378,4679,2699,12884,50561,12498,47526.9,4522.3,17470.5,25534.1,34665,45610,22022,0.762,0.88846,0.70345,0.70841,77.75,9.49393,13.9314,10882.18148,three
14,Shanxi,???,Intermediate,Not classified,Tier 3 (Lower-middle),3446,3446,2285,1161,5164,24701,5598,25494.7,1392.5,11021.5,13080.7,32441,43036,18741,0.774,0.89092,0.72618,0.71677,77.91,10.06645,14.06267,11501.51644,one
15,Inner Mongolia,??????,Western,Not classified,Tier 3 (Lower-middle),2388,2388,1689,699,3071,17564,3942,26314.6,2872.6,11604.4,11837.6,40077,50888,22543,0.782,0.88554,0.70333,0.76795,77.56,9.72816,13.646,16140.10769,two
21,Liaoning,???,Northeast,Not classified,Tier 3 (Lower-middle),4155,4155,3082,1073,4210,29186,9366,32612.7,2565.7,11503.3,18543.7,39844,47982,22744,0.791,0.90277,0.7421,0.73768,78.68,10.07588,14.6244,13208.79918,three
22,Jilin,???,Northeast,Not classified,Tier 4 (Lowest),2317,2317,1524,793,2368,16848,4629,14361.2,1589.8,4577.6,8193.8,31318,39157,20704,0.782,0.89862,0.74338,0.71531,78.41,9.85967,14.93,11391.12206,one
23,Heilongjiang,????,Northeast,Not classified,Tier 4 (Lowest),3029,3029,2061,968,2614,22508,6051,16476.9,3203.3,4147.3,9126.2,31269,38212,20963,0.767,0.89615,0.73133,0.68884,78.25,9.63489,14.766,9559.70197,two
31,Shanghai,???,Eastern,Yangtze River Delta,Tier 2 (Upper-middle),2480,2480,2228,252,2425,17926,5169,53926.7,99.7,11637.6,42189.4,88366,93095,45644,0.885,0.96231,0.81343,0.88628,82.55,11.61173,15.34941,35326.87473,three
32,Jiangsu,???,Eastern,Yangtze River Delta,Tier 1 (Highest),8526,8526,6440,2086,11414,59865,16478,137008,5245.2,59180.1,72582.8,55415,66173,32414,0.826,0.91262,0.72908,0.84754,79.32,9.86001,14.415,27335.67401,one
33,Zhejiang,???,Eastern,Yangtze River Delta,Tier 1 (Highest),6670,6670,5033,1637,8438,49424,10789,90130.6,2586.4,34782.7,52761.4,67013,78251,42786,0.815,0.926,0.71465,0.81944,80.19,9.40709,14.439,22695.73099,two
34,Anhui,???,Intermediate,Yangtze River Delta,Tier 2 (Upper-middle),6123,6123,3831,2292,10475,42660,9885,50625.2,3565.6,19607.5,27452.1,36782,49539,22507,0.767,0.89169,0.67795,0.74712,77.96,8.86427,13.769,14060.8635,three
35,Fujian,???,Eastern,Not classified,Tier 2 (Upper-middle),4193,4193,3011,1182,7426,30146,5591,57761,3287.7,24713.2,29760.2,47857,58763,28525,0.806,0.89985,0.70393,0.82585,78.49,9.25517,14.2351,23679.81796,one
36,Jiangxi,???,Intermediate,Yangtze River Economic Belt (w/o Delta),Tier 3 (Lower-middle),4502,4502,2871,1631,8287,31617,6435,34202.5,2605.1,13688.5,17908.8,36007,47514,22673,0.766,0.88677,0.68998,0.73359,77.64,9.15356,13.855,12856.43837,two
37,Shandong,???,Eastern,Not classified,Tier 1 (Highest),10080,10080,6701,3379,17417,67935,18400,98565.8,6616.9,39608.6,52340.3,42077,54062,25257,0.792,0.91046,0.71065,0.76834,79.18,9.36356,14.3472,16181.78719,three
41,Henan,???,Intermediate,Not classified,Tier 2 (Upper-middle),9785,9785,5795,3990,19501,66072,15144,63590,5491.4,24346.2,33752.4,31552,42027,21330,0.765,0.88615,0.69607,0.72717,77.6,9.35317,13.8347,12321.58891,one
42,Hubei,???,Intermediate,Yangtze River Economic Belt (w/o Delta),Tier 2 (Upper-middle),5834,5834,3871,1963,8575,41088,10385,60013,5462.2,21573.8,32977,36947,46987,22580,0.794,0.89231,0.72757,0.77221,78,9.6228,14.645,16601.2858,two
43,Hunan,???,Intermediate,Yangtze River Economic Belt (w/o Delta),Tier 2 (Upper-middle),6539,6539,4059,2480,11160,44915,11228,53231,4899.7,19534.6,28796.7,37679,51243,22204,0.776,0.89046,0.70248,0.74742,77.88,9.45428,13.9443,14089.25062,three
44,Guangdong,???,Eastern,Perl River Delta,Tier 1 (Highest),12780,12780,9701,3079,23064,95078,13399,141633.8,5837,54365.5,81431.3,51474,61629,26729,0.809,0.91246,0.72463,0.79991,79.31,10.08342,13.9864,19943.30643,one
45,Guangxi,???????,Western,Not classified,Tier 3 (Lower-middle),5013,5013,2877,2136,10682,33704,7208,28649.4,4751.5,9301,14596.9,31125,43044,19954,0.751,0.89323,0.68267,0.69513,78.06,9.10837,13.646,9966.35879,two
46,Hainan,???,Eastern,Not classified,Tier 4 (Lowest),1048,1048,661,387,1919,7588,1278,7935.7,1627.6,1497.9,4810.1,34829,44307,22146,0.779,0.90846,0.71393,0.72922,79.05,9.77969,13.966,12489.884,three
50,Chongqing,???,Western,Yangtze River Economic Belt (w/o Delta),Tier 3 (Lower-middle),3190,3190,2301,889,4421,22214,6194,32193.2,2135.8,11690.7,18366.7,39713,49778,22221,0.79,0.90092,0.70139,0.78137,78.56,9.3025,14.087,17639.21819,one
51,Sichuan,???,Western,Yangtze River Economic Belt (w/o Delta),Tier 2 (Upper-middle),8364,8364,5027,3337,12030,58183,15878,64697,5619.9,22816.9,36260.2,34325,47336,21303,0.762,0.88908,0.67736,0.73607,77.79,8.76331,13.869,13069.11651,two
52,Guizhou,???,Western,Yangtze River Economic Belt (w/o Delta),Tier 3 (Lower-middle),3860,3860,2187,1673,8700,25906,5127,22667.1,2971.7,7097.6,12597.9,28561,44558,15856,0.726,0.84923,0.64266,0.70219,75.2,8.12557,13.385,10443.53283,three
53,Yunnan,???,Western,Yangtze River Economic Belt (w/o Delta),Tier 3 (Lower-middle),4655,4655,2519,2136,8554,33581,5783,31534.1,4192.9,10330,17011.1,29932,45312,17450,0.733,0.83108,0.65712,0.71969,74.02,8.27082,13.7314,11725.90989,one
54,Tibet,?????,Western,Not classified,Tier 3 (Lower-middle),370,370,147,223,906,2666,240,2764.9,247.5,1016.1,1501.4,31358,55444,21578,0.699,0.80292,0.58929,0.72036,72.19,6.05236,13.9516,11778.40354,two
61,Shaanxi,???,Western,Not classified,Tier 3 (Lower-middle),3953,3953,2615,1338,6506,27804,6381,35538.8,2622,14519,18397.8,33905,46821,18199,0.788,0.88923,0.72868,0.75526,77.8,9.88042,14.3759,14839.48176,three
62,Gansu,???,Western,Not classified,Tier 4 (Lowest),2458,2458,1397,1061,4537,17314,3449,13002.9,1621.7,4436.4,6944.8,26612,41842,14105,0.723,0.856,0.66646,0.66337,75.64,8.65202,13.61,8076.36209,one
63,Qinghai,???,Western,Not classified,Tier 4 (Lowest),593,593,379,214,1183,4279,646,3950.8,359.1,1662.4,1929.3,30117,42191,16715,0.731,0.83015,0.65728,0.71616,73.96,8.40477,13.5765,11455.10574,two
64,Ningxia,???????,Western,Not classified,Tier 4 (Lowest),729,729,497,232,1423,5278,798,5502.8,451.2,2335.4,2716.2,33355,44449,19015,0.763,0.87046,0.7,0.72808,76.58,9.35177,13.978,12395.93614,three
65,Xinjiang,????????,Western,Not classified,Tier 4 (Lowest),2623,2623,1583,1040,5161,19441,2393,20534.1,2572,8135.9,9826.2,30899,42820,19427,0.763,0.85615,0.71558,0.72415,75.65,9.75047,14.0604,12077.14423,one
